ejecucion,generacion,mejor,promedio,peor
1,1,-0.003616,-2.500069,-11.025022
1,2,-0.003616,-3.103311,-12.421111
1,3,-0.003616,-3.218375,-10.973065
1,4,-0.003616,-2.874612,-9.795657
1,5,-0.003616,-2.183649,-8.099391
1,6,-0.003616,-1.889940,-6.646669
1,7,-0.003616,-1.534225,-7.055874
1,8,-0.003616,-1.092333,-4.844529
1,9,-0.003616,-0.891194,-3.377826
1,10,-0.003616,-0.735680,-3.427212
1,11,-0.003616,-0.607962,-2.916935
1,12,-0.003616,-0.419654,-2.116933
1,13,-0.003616,-0.474549,-4.593207
1,14,-0.003616,-0.351820,-4.151018
1,15,-0.003616,-0.245346,-1.119450
1,16,-0.003616,-0.331269,-3.216142
1,17,-0.003616,-0.246961,-1.518697
1,18,-0.003616,-0.273934,-4.521298
1,19,-0.003616,-0.197543,-1.951835
1,20,-0.003616,-0.276872,-3.788136
1,21,-0.003616,-0.129481,-1.505981
1,22,-0.003616,-0.126169,-0.729302
1,23,-0.003616,-0.148362,-1.713424
1,24,-0.003616,-0.265849,-2.980500
1,25,-0.003616,-0.195537,-2.477169
1,26,-0.003616,-0.325270,-2.527279
1,27,-0.003616,-0.307462,-5.704449
1,28,-0.003616,-0.130174,-1.687817
1,29,-0.003616,-0.172747,-1.415719
1,30,-0.003616,-0.137512,-0.998158
1,31,-0.003616,-0.166308,-1.759645
1,32,-0.003616,-0.199277,-3.266873
1,33,-0.003616,-0.093362,-1.574547
1,34,-0.003616,-0.201340,-2.379094
1,35,-0.003616,-0.546345,-4.084689
1,36,-0.003616,-0.207848,-2.427803
1,37,-0.003616,-0.486256,-5.553938
1,38,-0.003616,-0.225393,-2.343235
1,39,-0.003616,-0.210643,-3.672914
1,40,-0.003616,-0.142317,-1.534127
1,41,-0.003616,-0.108986,-1.349654
1,42,-0.003616,-0.216830,-6.582117
1,43,-0.003616,-0.319605,-2.177134
1,44,-0.003616,-0.166981,-2.144766
1,45,-0.003616,-0.311768,-2.636877
1,46,-0.003616,-0.120313,-1.435560
1,47,-0.003616,-0.208608,-2.738252
1,48,-0.003616,-0.097051,-0.951682
1,49,-0.003616,-0.242124,-2.567022
1,50,-0.003616,-0.179839,-2.613809
1,51,-0.003616,-0.110613,-1.865332
1,52,-0.003616,-0.237947,-2.437249
1,53,-0.003616,-0.134761,-1.853467
1,54,-0.003616,-0.141654,-1.841628
1,55,-0.003616,-0.053525,-0.426024
1,56,-0.003616,-0.141981,-1.858450
1,57,-0.003616,-0.201452,-2.800244
1,58,-0.003616,-0.142001,-1.833407
1,59,-0.003616,-0.193329,-2.645867
1,60,-0.003616,-0.092997,-1.918518
1,61,-0.003616,-0.304512,-5.592840
1,62,-0.003616,-0.252482,-2.595030
1,63,-0.003616,-0.142774,-2.157509
1,64,-0.003616,-0.262260,-1.998592
1,65,-0.003616,-0.257866,-3.287036
1,66,-0.003616,-0.161893,-1.927902
1,67,-0.003616,-0.201661,-2.425577
1,68,-0.003616,-0.164304,-1.444786
1,69,-0.003616,-0.244881,-2.531160
1,70,-0.003616,-0.159684,-1.670614
1,71,-0.003616,-0.200628,-2.954303
1,72,-0.003616,-0.165366,-2.607851
1,73,-0.003616,-0.196223,-2.447564
1,74,-0.003616,-0.189376,-2.523472
1,75,-0.003616,-0.177484,-2.060942
1,76,-0.003616,-0.161603,-2.089569
1,77,-0.003616,-0.212810,-2.257632
1,78,-0.003616,-0.249661,-4.647700
1,79,-0.003616,-0.225302,-2.108570
1,80,-0.003616,-0.109379,-1.080740
1,81,-0.003616,-0.275268,-4.121007
1,82,-0.003616,-0.315292,-2.497289
1,83,-0.003616,-0.176714,-1.991092
1,84,-0.003616,-0.165130,-2.398672
1,85,-0.003616,-0.143502,-2.105947
1,86,-0.003616,-0.155499,-2.037336
1,87,-0.003616,-0.186382,-3.258080
1,88,-0.003616,-0.221032,-3.040122
1,89,-0.003616,-0.077709,-0.571254
1,90,-0.003616,-0.240358,-2.532435
1,91,-0.003616,-0.393749,-5.329648
1,92,-0.003616,-0.154033,-1.657494
1,93,-0.003616,-0.368577,-3.650539
1,94,-0.003616,-0.211096,-3.145898
1,95,-0.003616,-0.207317,-2.464200
1,96,-0.003616,-0.178202,-2.790645
1,97,-0.003616,-0.168209,-1.832087
1,98,-0.003616,-0.156341,-2.815458
1,99,-0.003616,-0.083644,-1.228687
1,100,-0.003616,-0.332728,-2.840499
1,101,-0.003616,-0.114184,-2.089421
1,102,-0.003616,-0.241130,-1.863124
1,103,-0.003616,-0.161949,-1.726526
1,104,-0.003616,-0.268202,-2.401107
1,105,-0.003616,-0.363843,-9.434180
